카테고리,세부,브랜드,제품명,태그,용량/가격,별점,리뷰수,이미지,제품링크
미스트,미스트,디어클레어스,펀더멘탈 앰플 미스트,"#보습, #수분공급, #안개분사, #영양공급, #윤기부여, #투명피부","125ml / 28,000원",4.33,리뷰 245,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20190613/1560395749286.png,https://www.glowpick.com/products/122746
미스트,미스트,달바,화이트 트러플 퍼스트 스프레이 세럼,"#보습, #비건뷰티, #영양공급, #윤기, #클린뷰티","100ml / 29,900원",4.27,"리뷰 2,019",https://dn5hzapyfrpio.cloudfront.net/product/470/47064d40-a89a-11ef-a014-4b3c66208e99.jpeg,https://www.glowpick.com/products/89696
미스트,미스트,달바,화이트 트러플 퍼스트 아로마틱 스프레이 세럼,"#기능성, #보습, #비건뷰티, #안개분사, #저자극, #주름개선, #클린뷰티, #피부탄력","60ml / 18,900원",4.37,리뷰 139,https://dn5hzapyfrpio.cloudfront.net/product/088/08829170-50da-11ec-a04e-79c24efa5558.jpeg,https://www.glowpick.com/products/152795
미스트,미스트,유이크,바이옴 베리어 크림 미스트,"#광채, #보습, #영양공급, #저자극","100ml / 23,000원",4.64,리뷰 53,https://dn5hzapyfrpio.cloudfront.net/product/588/58889140-a7e1-11ef-af8e-d75e1687b26a.jpeg,https://www.glowpick.com/products/168045
미스트,미스트,CNP,프로폴리스 에너지 앰플 미스트,"#보습, #안개분사, #영양공급, #윤기부여, #저자극, #피부진정","100ml / 16,000원",4.23,"리뷰 3,625",https://dn5hzapyfrpio.cloudfront.net/product/b62/b6258790-f9f5-11ed-b475-e7721b5a8e85.jpeg,https://www.glowpick.com/products/51533
미스트,미스트,이즈앤트리,히아루론산 워터 미스트,"#보습, #안개분사, #윤기부여","100ml / 16,500원",4.26,리뷰 160,https://dn5hzapyfrpio.cloudfront.net/product/786/78621db0-1797-11ed-96a2-3b4c68aab9e0.png,https://www.glowpick.com/products/117775
미스트,미스트,퓨어트리,모이스트페어™ 수분 미스트,"#기능성, #미백, #보습, #비건뷰티, #수분공급, #저자극, #주름개선, #피부진정","100ml / 12,000원",4.23,리뷰 95,https://dn5hzapyfrpio.cloudfront.net/product/827/82739e00-ea28-11ed-9e14-d5982cc1d22d.jpeg,https://www.glowpick.com/products/165036
미스트,미스트,시드물,알로에 쿨링 미스트,"#보습, #유수분조절, #저자극, #피부진정","150ml / 12,800원",4.26,리뷰 81,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/20161121/1479699519787.jpg,https://www.glowpick.com/products/82878
미스트,미스트,케어존,닥터솔루션 노르데나우 워터 미스트,"#저자극, #피부진정","120ml / 15,000원",4.22,리뷰 86,https://dn5hzapyfrpio.cloudfront.net/product/b25/b2586540-dcf1-11ed-bbfc-2d62fc6c2daf.jpeg,https://www.glowpick.com/products/17876
미스트,미스트,인셀덤,발라또 오일 미스트,"#기능성, #보습, #유수분조절, #윤기, #저자극, #주름개선","50ml / 39,000원",4.39,리뷰 61,https://dn5hzapyfrpio.cloudfront.net/product/8e3/8e3ddc70-eb72-11eb-bf00-5106f026b169.jpeg,https://www.glowpick.com/products/149248
